id,客户名,产品,数量,交期,当前环节,状态
ORD001,深圳精密五金,手机中框支架,5000,2026-07-25,CNC加工,生产中
ORD002,东莞模具厂,汽车灯罩模具,200,2026-07-24,抛光,即将完成
ORD003,广州航天精工,航空铝合金支架,800,2026-07-28,3D打印,生产中
ORD004,深圳精密五金,手表壳精雕,3000,2026-07-23,质检,紧急
ORD005,东莞模具厂,注塑模具型腔,50,2026-07-30,编程,排期中
ORD006,广州航天精工,钛合金紧固件,1500,2026-07-26,3D打印,生产中
ORD007,深圳精密五金,散热器基板,2000,2026-07-27,CNC加工,待排产
ORD008,东莞模具厂,吹塑模具,30,2026-08-02,设计,排期中
ORD009,广州航天精工,碳纤维面板,300,2026-07-25,CNC加工,生产中
ORD010,深圳精密五金,光纤接头,10000,2026-07-29,3D打印,待排产
ORD011,东莞模具厂,压铸模具,20,2026-08-05,设计,排期中
ORD012,广州航天精工,铝合金舱段,100,2026-07-28,CNC加工,生产中
ORD013,深圳精密五金,精密齿轮,5000,2026-07-24,质检,紧急
ORD014,东莞模具厂,硅胶模具,100,2026-07-31,编程,排期中
ORD015,广州航天精工,卫星支架,50,2026-08-10,设计,排期中
